date,group
2018-09-11,983097.9009853463
2018-09-12,985281.7715496015
2018-09-13,1002678.0764555935
2018-09-14,1007927.6191138652
2018-09-17,1010130.754114932
2018-09-18,1009196.6375450946
2018-09-19,1008747.6698555226
2018-09-20,1022190.6047148053
2018-09-21,1016021.0778407109
2018-09-24,1013011.4626461787
2018-09-25,1009360.7418402857
2018-09-26,1012393.5590278553
2018-09-27,997558.5044160724
2018-09-28,995458.8859659892
2018-10-01,1003632.8520964594
2018-10-02,1000533.2656026925
2018-10-03,1008176.4003929284
2018-10-04,1016128.9901605959
2018-10-05,1030632.4008959599
2018-10-08,1034805.8163925118
2018-10-09,1032449.9474551848
2018-10-10,1043785.1970600316
2018-10-11,1039739.9867751228
2018-10-12,1039098.62478882
2018-10-15,1036516.1396862135
2018-10-16,1016563.7857684117
2018-10-17,1014834.882062725
2018-10-18,1014931.5493386841
2018-10-19,1019807.8585443732
2018-10-22,1023106.2795164312
2018-10-23,1026036.6121528556
2018-10-24,1026853.8667778991
2018-10-25,1023576.4690684492
2018-10-26,1033633.8265859252
2018-10-29,1039934.3587426366
2018-10-30,1041709.0658136093
2018-10-31,1044541.0734795538
2018-11-01,1037017.9529282867
2018-11-02,1030277.9527437589
2018-11-05,1014984.998329635
2018-11-06,1020919.2427571379
2018-11-07,1017616.7408186833
2018-11-08,1011715.2881877681
2018-11-09,996441.7899916508
2018-11-12,1007871.3923027416
2018-11-13,1015894.0614303139
2018-11-14,1006873.8642515761
2018-11-15,997205.8610208537
2018-11-16,983959.1745902873
2018-11-19,973564.251787683
2018-11-20,972776.9169392367
2018-11-21,975778.4941742505
2018-11-22,981725.2938244054
2018-11-23,975183.0268706948
2018-11-26,976542.7059031418
2018-11-27,986388.6308037788
2018-11-28,1002826.1770073604
2018-11-29,1008354.5242354933
2018-11-30,990335.742330964
2018-12-03,978282.3358080331
2018-12-04,980104.9717009147
2018-12-05,975321.6047255778
2018-12-06,973599.7290374866
2018-12-07,967443.472945227
2018-12-10,969428.733048457
2018-12-11,984553.5706549254
2018-12-12,979389.2480436022
2018-12-13,983213.6179320787
2018-12-14,982438.5348988981
2018-12-17,983518.7082822289
2018-12-18,992427.1917050589
2018-12-19,992500.1761639966
2018-12-20,991697.3220525223
2018-12-21,1001238.8344317088
2018-12-24,1004360.6059578825
2018-12-25,995776.019099446
2018-12-26,994301.5751105424
2018-12-27,990581.0466988528
2018-12-28,989550.0221502669
2018-12-31,982591.5133611411
2019-01-01,988306.6468030943
2019-01-02,984355.6510053244
2019-01-03,993863.0999928527
2019-01-04,985263.4008699224
2019-01-07,980637.8622488499
2019-01-08,976232.9593148364
2019-01-09,951715.2225158071
2019-01-10,963785.521358915
2019-01-11,947048.5952664536
2019-01-14,944076.817605472
2019-01-15,951477.1718609205
2019-01-16,956734.7593134684
2019-01-17,955847.7646132293
2019-01-18,951245.0659440123
2019-01-21,949748.231632883
2019-01-22,950960.8360804974
2019-01-23,957379.5718055902
2019-01-24,957502.6891840578
2019-01-25,968728.9652964723
2019-01-28,973320.7945154872
2019-01-29,970745.0206015296
2019-01-30,950444.1355892762
2019-01-31,938528.4392291761
2019-02-01,952073.5551327127
2019-02-04,960720.8387424272
2019-02-05,948190.4339402055
2019-02-06,947666.3408614881
2019-02-07,942857.723730939
2019-02-08,940790.6286322558
2019-02-11,954809.0956497083
2019-02-12,968433.1748150524
2019-02-13,976802.0679159262
2019-02-14,972160.3125426706
2019-02-15,962960.4014666596
2019-02-18,966198.6874682684
2019-02-19,977760.5266236344
2019-02-20,987251.9598866764
2019-02-21,984656.6344817062
2019-02-22,975118.3395747123
2019-02-25,969978.6264628323
2019-02-26,962283.1950095602
2019-02-27,973960.5201959775
2019-02-28,966675.4247347536
2019-03-01,963450.4070165402
2019-03-04,953133.3417329937
2019-03-05,945976.8527634528
2019-03-06,932721.817813253
2019-03-07,937584.8023664409
2019-03-08,960836.5358891052
2019-03-11,952483.8217620803
2019-03-12,950632.640098275
2019-03-13,960935.4017928342
2019-03-14,972741.2196879445
2019-03-15,984461.5068370344
2019-03-18,986985.9982730618
2019-03-19,990088.233635274
2019-03-20,992989.0686469799
2019-03-21,988271.5180275645
2019-03-22,984323.4915660787
2019-03-25,985587.567394866
2019-03-26,975820.4577644994
2019-03-27,965703.0027258354
2019-03-28,967696.9974040333
2019-03-29,975192.1658843514
2019-04-01,973989.0073960746
2019-04-02,989132.5027191752
2019-04-03,989549.358403161
2019-04-04,1005533.1869249167
2019-04-05,1002328.1161639597
2019-04-08,1001446.5153603553
2019-04-09,1014131.3350453924
2019-04-10,1018149.6099766642
2019-04-11,1019721.819404518
2019-04-12,1005135.195943235
2019-04-15,1008234.0700975626
2019-04-16,1022055.563494851
2019-04-17,1014260.541403965
2019-04-18,1013762.4253045955
2019-04-19,1016924.6080211092
2019-04-22,1012073.6852201048
2019-04-23,1012439.4417097667
2019-04-24,1007581.9291122896
2019-04-25,1004632.1262975102
2019-04-26,998339.1412255315
2019-04-29,988278.8245921186
2019-04-30,984721.3949727528
2019-05-01,982435.8555097578
2019-05-02,999068.478676526
2019-05-03,1003567.7507230948
2019-05-06,1001644.4694897545
2019-05-07,990597.8271563596
2019-05-08,997669.2724976278
2019-05-09,1007936.3171256259
2019-05-10,1000887.2506519038
2019-05-13,1003889.2679550971
2019-05-14,1006969.3833057114
2019-05-15,1008464.9393653045
2019-05-16,1007798.073697482
2019-05-17,997491.2906222254
2019-05-20,1004102.5519778315
2019-05-21,1005681.4706879228
2019-05-22,1009748.7397999488
2019-05-23,1010951.1055367019
2019-05-24,1016956.7162220718
2019-05-27,1025481.4495513828
2019-05-28,1033596.1459849074
2019-05-29,1028266.7346858848
2019-05-30,1027584.1656474817
2019-05-31,1018735.5468783823
2019-06-03,1024317.5530932611
2019-06-04,1008609.1300148059
2019-06-05,1015094.8837669488
2019-06-06,1024826.5476806612
2019-06-07,1026164.2182077701
2019-06-10,1003343.3219600642
2019-06-11,1010646.5230135289
2019-06-12,1013471.2633611271
2019-06-13,1007884.5767343708
2019-06-14,1023855.9129690022
2019-06-17,1012787.9263191381
2019-06-18,1009504.0294991786
2019-06-19,1022941.1816904552
2019-06-20,1024433.3782443958
2019-06-21,1025754.2307558956
2019-06-24,1025209.2364231618
2019-06-25,1029609.0684735319
2019-06-26,1034306.7589749603
2019-06-27,1040006.7289976378
2019-06-28,1035986.2920476296
2019-07-01,1031383.6778079513
2019-07-02,1039497.6524622588
2019-07-03,1017250.1269048917
2019-07-04,1018263.1928924052
2019-07-05,1012571.2637522852
2019-07-08,1007848.8106104985
2019-07-09,1019205.0405092878
2019-07-10,1026084.1002653389
2019-07-11,1025346.9573102975
2019-07-12,1029550.4574884172
2019-07-15,1029061.435309413
2019-07-16,1029938.1008143189
2019-07-17,1028237.797368665
2019-07-18,1045190.4009575702
2019-07-19,1043246.2507689816
2019-07-22,1041525.3688173085
2019-07-23,1036905.1339169289
2019-07-24,1032834.5303134529
2019-07-25,1040046.7753306562
2019-07-26,1037945.7550924157
2019-07-29,1031460.4145377984
2019-07-30,1033395.9515423265
2019-07-31,1045668.9547712025
2019-08-01,1069944.5414103754
2019-08-02,1054904.3206820318
2019-08-05,1053917.0178756684
2019-08-06,1050491.0753044053
2019-08-07,1045399.5074382302
2019-08-08,1050357.696511107
2019-08-09,1050799.173152298
2019-08-12,1052622.5044728438
2019-08-13,1039722.571021111
2019-08-14,1031877.5626540569
2019-08-15,1032454.9196524842
2019-08-16,1030081.3149136534
2019-08-19,1032457.5205485738
2019-08-20,1030884.9927286038
2019-08-21,1041647.2071659723
2019-08-22,1045504.59083206
2019-08-23,1038527.3653886705
2019-08-26,1039428.3535569881
2019-08-27,1038342.6149805239
2019-08-28,1026453.6702301982
2019-08-29,1009927.1958351847
2019-08-30,1004435.4749714878
2019-09-02,1002503.9786305857
2019-09-03,1008696.1195297553
2019-09-04,1008286.754487532
2019-09-05,1006001.1639336742
2019-09-06,1006878.5145970872
2019-09-09,1014739.8920682261
2019-09-10,1020189.6509235399
2019-09-11,1027063.6384777892
2019-09-12,1027346.9432609207
2019-09-13,1025664.4790358073
2019-09-16,1020364.6459501201
2019-09-17,1025344.2709695186
2019-09-18,1022808.9864262182
2019-09-19,1037179.6437109434
2019-09-20,1051618.1107246634
2019-09-23,1051891.9732516366
2019-09-24,1037596.9206266582
2019-09-25,1045028.8724955819
2019-09-26,1042697.6140139156
2019-09-27,1031382.4583540431
2019-09-30,1025039.8968767719
2019-10-01,1022935.2921112111
2019-10-02,1020820.8241142416
2019-10-03,1020851.0411403549
2019-10-04,1023659.4062980707
2019-10-07,1018708.9397655318
2019-10-08,1025492.2847343846
2019-10-09,1029470.8117877382
2019-10-10,1036226.9892820504
2019-10-11,1051174.884023961
2019-10-14,1056144.0355195932
2019-10-15,1046353.9375893791
2019-10-16,1052912.5437142742
2019-10-17,1038595.691786843
2019-10-18,1035109.7322689274
2019-10-21,1033904.5310257729
2019-10-22,1022451.6043025805
2019-10-23,1022656.3280238258
2019-10-24,1015433.1146447589
2019-10-25,1026078.7777762213
2019-10-28,1004861.9687657424
2019-10-29,1005110.6319569885
2019-10-30,1002154.667055112
2019-10-31,998144.2395935671
2019-11-01,998448.9148496953
2019-11-04,998075.5186177294
